1 -1.035832e-07 -1.928201e-10 2.940192e-06 
2 5.962509e-08 1.387657e-08 9.540366e-06 
3 1.094872e-06 7.358300e-08 1.785338e-05 
4 2.626870e-06 1.557791e-07 2.853229e-05 
5 3.497809e-06 2.446340e-07 4.013551e-05 
6 2.895151e-06 3.214039e-07 5.279219e-05 
7 1.682456e-06 4.273512e-07 6.844063e-05 
8 1.057657e-06 6.045012e-07 8.892071e-05 
9 1.905541e-06 8.691217e-07 1.148412e-04 
10 4.044690e-06 1.218021e-06 1.464632e-04 
11 6.194671e-06 1.613316e-06 1.835396e-04 
12 6.964659e-06 2.086517e-06 2.261792e-04 
13 5.742880e-06 2.669675e-06 2.767299e-04 
14 4.077425e-06 3.429664e-06 3.374418e-04 
15 3.162529e-06 4.360482e-06 4.087514e-04 
16 3.871136e-06 5.456983e-06 4.903936e-04 
17 5.668819e-06 6.716603e-06 5.830187e-04 
18 7.402311e-06 8.161465e-06 6.873420e-04 
19 8.094812e-06 9.858240e-06 8.054951e-04 
20 7.499675e-06 1.182524e-05 9.395964e-04 
21 7.126499e-06 1.409829e-05 1.090485e-03 
22 7.261973e-06 1.663013e-05 1.257238e-03 
23 8.212293e-06 1.945657e-05 1.440713e-03 
24 9.083639e-06 2.257793e-05 1.642196e-03 
25 9.524037e-06 2.606215e-05 1.863254e-03 
26 9.494610e-06 2.992087e-05 2.104853e-03 
27 9.495960e-06 3.415518e-05 2.367468e-03 
28 1.077955e-05 3.873686e-05 2.650074e-03 
29 1.248875e-05 4.365221e-05 2.952537e-03 
30 1.414375e-05 4.895656e-05 3.276643e-03 
31 1.437816e-05 5.466173e-05 3.623454e-03 
32 1.361534e-05 6.079837e-05 3.993063e-03 
33 1.249212e-05 6.731296e-05 4.385058e-03 
34 1.227772e-05 7.420631e-05 4.799049e-03 
35 1.399904e-05 8.145771e-05 5.234421e-03 
36 1.627467e-05 8.911436e-05 5.692603e-03 
37 1.830199e-05 9.719488e-05 6.174612e-03 
38 1.851695e-05 1.056892e-04 6.679890e-03 
39 1.779583e-05 1.145729e-04 7.207083e-03 
40 1.665282e-05 1.238195e-04 7.756137e-03 
41 1.650670e-05 1.334508e-04 8.327026e-03 
42 1.784861e-05 1.434824e-04 8.920701e-03 
43 1.944279e-05 1.539564e-04 9.538051e-03 
44 2.090261e-05 1.648563e-04 1.017888e-02 
45 2.123647e-05 1.761540e-04 1.084154e-02 
46 2.165729e-05 1.878431e-04 1.152603e-02 
47 2.199200e-05 1.999448e-04 1.223343e-02 
48 2.304945e-05 2.125111e-04 1.296446e-02 
49 2.430909e-05 2.255463e-04 1.371945e-02 
50 2.487084e-05 2.390557e-04 1.449804e-02 
51 2.502353e-05 2.529984e-04 1.529907e-02 
52 2.486975e-05 2.673914e-04 1.612184e-02 
53 2.603073e-05 2.822636e-04 1.696804e-02 
54 2.778553e-05 2.976558e-04 1.783842e-02 
55 3.024491e-05 3.135813e-04 1.873276e-02 
56 3.185636e-05 3.300113e-04 1.965010e-02 
57 3.197169e-05 3.469517e-04 2.058987e-02 
58 3.118591e-05 3.643821e-04 2.155123e-02 
59 3.043754e-05 3.823613e-04 2.253520e-02 
60 3.144838e-05 4.008931e-04 2.354253e-02 
61 3.334913e-05 4.200049e-04 2.457228e-02 
62 3.609141e-05 4.396392e-04 2.562253e-02 
63 3.783554e-05 4.597943e-04 2.669243e-02 
64 3.836898e-05 4.804683e-04 2.778154e-02 
65 3.810243e-05 5.016911e-04 2.888990e-02 
66 3.802972e-05 5.234888e-04 3.001772e-02 
67 3.915987e-05 5.458284e-04 3.116397e-02 
