1 1.406673e-08 1.937279e-08 2.920533e-04 -1.325031e-06 -1.069905e-08 3.640907e-10 
2 8.942568e-09 1.075824e-08 1.626239e-04 -1.197673e-06 -9.670702e-09 2.449220e-10 
3 6.847023e-09 7.999756e-09 1.215135e-04 -9.575945e-07 -7.732249e-09 1.902492e-10 
4 6.775120e-09 7.910246e-09 1.208494e-04 -9.291726e-07 -7.502997e-09 1.886690e-10 
5 9.374663e-09 1.106706e-08 1.701703e-04 -1.258044e-06 -1.015928e-08 2.566755e-10 
6 1.341153e-08 1.622289e-08 2.509882e-04 -1.688602e-06 -1.363772e-08 3.605936e-10 
7 1.770798e-08 2.146360e-08 3.336897e-04 -2.195499e-06 -1.773439e-08 4.728058e-10 
8 2.209830e-08 2.658091e-08 4.149062e-04 -2.751132e-06 -2.222720e-08 5.883625e-10 
9 2.653187e-08 3.156441e-08 4.947799e-04 -3.340526e-06 -2.699591e-08 7.054949e-10 
10 3.105186e-08 3.645642e-08 5.744296e-04 -3.953558e-06 -3.195937e-08 8.242099e-10 
11 3.569430e-08 4.126706e-08 6.544854e-04 -4.607824e-06 -3.726058e-08 9.457881e-10 
12 4.045359e-08 4.602421e-08 7.365311e-04 -5.293345e-06 -4.281996e-08 1.070165e-09 
13 4.525339e-08 5.059495e-08 8.185772e-04 -5.970530e-06 -4.831848e-08 1.194308e-09 
14 5.001870e-08 5.500332e-08 8.994033e-04 -6.642822e-06 -5.378557e-08 1.319004e-09 
15 5.496982e-08 5.943646e-08 9.807315e-04 -7.349924e-06 -5.954476e-08 1.449243e-09 
16 6.004205e-08 6.392452e-08 1.063569e-03 -8.059268e-06 -6.533420e-08 1.582097e-09 
17 6.515835e-08 6.837138e-08 1.146547e-03 -8.750786e-06 -7.099219e-08 1.714751e-09 
18 7.027926e-08 7.269135e-08 1.228266e-03 -9.448012e-06 -7.671041e-08 1.847008e-09 
19 7.551394e-08 7.690967e-08 1.310477e-03 -1.016506e-05 -8.260464e-08 1.980317e-09 
20 8.075022e-08 8.091049e-08 1.392863e-03 -1.087124e-05 -8.842651e-08 2.111547e-09 
21 8.580822e-08 8.464021e-08 1.473789e-03 -1.157106e-05 -9.421402e-08 2.240408e-09 
22 9.088670e-08 8.819279e-08 1.553820e-03 -1.227475e-05 -1.000523e-07 2.370358e-09 
23 9.582077e-08 9.163159e-08 1.633262e-03 -1.296751e-05 -1.058231e-07 2.499818e-09 
24 1.006466e-07 9.500754e-08 1.711040e-03 -1.363567e-05 -1.114164e-07 2.628791e-09 
25 1.053636e-07 9.840631e-08 1.786117e-03 -1.428638e-05 -1.168914e-07 2.757732e-09 
26 1.100478e-07 1.019287e-07 1.860855e-03 -1.494476e-05 -1.224543e-07 2.887464e-09 
27 1.145520e-07 1.053745e-07 1.935168e-03 -1.559603e-05 -1.279840e-07 3.012508e-09 
28 1.187223e-07 1.085280e-07 2.007685e-03 -1.621452e-05 -1.332687e-07 3.128985e-09 
29 1.226418e-07 1.114067e-07 2.076818e-03 -1.682009e-05 -1.384711e-07 3.241153e-09 
30 1.262028e-07 1.141348e-07 2.144454e-03 -1.743488e-05 -1.437744e-07 3.350564e-09 
31 1.295101e-07 1.167276e-07 2.210861e-03 -1.801791e-05 -1.488420e-07 3.456199e-09 
32 1.323197e-07 1.192750e-07 2.273962e-03 -1.856747e-05 -1.536596e-07 3.557680e-09 
33 1.347893e-07 1.219824e-07 2.334825e-03 -1.911511e-05 -1.584885e-07 3.658680e-09 
34 1.369386e-07 1.247991e-07 2.393962e-03 -1.964172e-05 -1.631700e-07 3.755321e-09 
35 1.386261e-07 1.276724e-07 2.450684e-03 -2.013333e-05 -1.675855e-07 3.844951e-09 
36 1.399031e-07 1.305240e-07 2.504875e-03 -2.061896e-05 -1.719743e-07 3.928050e-09 
37 1.406391e-07 1.332326e-07 2.557707e-03 -2.110139e-05 -1.763580e-07 4.002278e-09 
38 1.408771e-07 1.356451e-07 2.609392e-03 -2.157073e-05 -1.806527e-07 4.067204e-09 
39 1.402769e-07 1.377376e-07 2.658109e-03 -2.200447e-05 -1.846690e-07 4.121414e-09 
40 1.392134e-07 1.397863e-07 2.703689e-03 -2.242300e-05 -1.885779e-07 4.173466e-09 
41 1.376394e-07 1.420163e-07 2.747968e-03 -2.284241e-05 -1.925158e-07 4.224339e-09 
42 1.354030e-07 1.443672e-07 2.791764e-03 -2.324599e-05 -1.963422e-07 4.268823e-09 
43 1.325844e-07 1.467757e-07 2.833026e-03 -2.361170e-05 -1.998683e-07 4.305978e-09 
44 1.291713e-07 1.492613e-07 2.872755e-03 -2.398402e-05 -2.034685e-07 4.336933e-09 
45 1.252408e-07 1.516347e-07 2.912257e-03 -2.435565e-05 -2.070801e-07 4.359162e-09 
46 1.206036e-07 1.536899e-07 2.950439e-03 -2.470639e-05 -2.105295e-07 4.369751e-09 
47 1.154708e-07 1.554883e-07 2.987228e-03 -2.505216e-05 -2.139515e-07 4.374344e-09 
48 1.095959e-07 1.570879e-07 3.023431e-03 -2.540865e-05 -2.174819e-07 4.372524e-09 
49 1.031151e-07 1.585425e-07 3.059310e-03 -2.574178e-05 -2.208303e-07 4.365603e-09 
50 9.610857e-08 1.600109e-07 3.093154e-03 -2.605453e-05 -2.240229e-07 4.356375e-09 
51 8.854383e-08 1.617502e-07 3.125940e-03 -2.636906e-05 -2.272509e-07 4.346498e-09 
