x1,y1,z1
0,0,0
-3.82186074950158e-07,0.0687536614866267,-0.000763486660434629
-1.28860504317141e-06,0.1375254437507,-0.0028451457124338
-4.04117595388496e-06,0.206319425981882,-0.00592217693487143
-8.1093217197789e-06,0.275132792490979,-0.0096754830167774
-1.32973460753342e-05,0.343957949196378,-0.0138171684344212
-1.90882290884039e-05,0.41278908688804,-0.0181599754927847
-2.51538610143702e-05,0.481621727382586,-0.022574711312757
-3.13294544055428e-05,0.55045459250209,-0.0270126347342807
-5.042263289164e-05,-0.550480946006697,-0.0280647684097692
-3.86946426582199e-05,-0.481633110245776,-0.0228250600126938
-2.75884779928068e-05,-0.412787882327468,-0.0177378754426636
-1.77229683481264e-05,-0.343948793890898,-0.0129701888017338
-9.79429584045644e-06,-0.275121306943572,-0.00870081767808471
-4.10172344553011e-06,-0.206310607770242,-0.00510805154536557
-1.04176710934915e-06,-0.137521283658828,-0.00236056864910337
1.9146399822644e-07,-0.0687529781123015,-0.000612584703628571
