x,y,z,time
-2.3284339254658e-05,-0.343926801145887,-0.0130313607446657,0
-2.32791660190074e-05,-0.343926801571588,-0.0130313981514268,0.01
-2.32682800395499e-05,-0.343926802340685,-0.013031459016422,0.02
-2.32591067105456e-05,-0.343926803130131,-0.0130315110581038,0.03
-2.32579991665751e-05,-0.343926804311865,-0.0130316000379465,0.04
-2.32662836208929e-05,-0.343926805661102,-0.0130317062054,0.05
-2.32774035879849e-05,-0.343926806670089,-0.0130317758326553,0.06
-2.3284108501839e-05,-0.343926807595543,-0.0130318430943866,0.07
-2.32814764212235e-05,-0.343926808500553,-0.013031915723606,0.08
-2.32712830100211e-05,-0.343926808884217,-0.0130319422350597,0.09
-2.32614270394424e-05,-0.343926808682492,-0.0130319246488054,0.1
-2.32581954113792e-05,-0.343926808059797,-0.01303188106743,0.11
-2.32642501040537e-05,-0.343926806968206,-0.0130318002308602,0.12
-2.32752094925492e-05,-0.343926805785143,-0.0130317080093198,0.13
-2.32828793815708e-05,-0.343926805357376,-0.0130316757414225,0.14
-2.32824271645653e-05,-0.343926806202541,-0.0130317407616829,0.15
-2.32738511970736e-05,-0.34392680857321,-0.013031913911776,0.16
-2.33580553791622e-05,-0.343926823688432,-0.0130319341113338,0.17
-2.36520111878331e-05,-0.34392705015326,-0.0130432456311588,0.18
-2.41366103609557e-05,-0.343928094395734,-0.013111340954904,0.19
-2.49087903406504e-05,-0.343930778340114,-0.0133013137876869,0.2
-2.59334878443693e-05,-0.343935326422957,-0.0136294963615924,0.21
-2.70923173870787e-05,-0.34394084722498,-0.0140299528881994,0.22
-2.83351712942084e-05,-0.343945827997481,-0.0143919115768091,0.23
-2.94429247918339e-05,-0.343949237132542,-0.014635285342781,0.24
-3.03826614884757e-05,-0.343951279457171,-0.0147737707474584,0.25
-3.10862529042167e-05,-0.343952721820235,-0.0148694425401571,0.26
-3.15643155454329e-05,-0.343953897244525,-0.014949732942273,0.27
-3.18889286457061e-05,-0.343954625199778,-0.0149996728116073,0.28
-3.19651320608503e-05,-0.343954678989355,-0.0150041317587735,0.29
-3.18027363059165e-05,-0.34395390915181,-0.0149530484554806,0.3
-3.13433141880521e-05,-0.343952134623519,-0.0148283898123198,0.31
-3.06222641508591e-05,-0.34394943205495,-0.0146339511967209,0.32
-2.97215110002876e-05,-0.343946223614132,-0.0144033176112201,0.33
-2.86656628170281e-05,-0.343942948667468,-0.0141692572428596,0.34
-2.76080669570526e-05,-0.343939841157712,-0.013949394236734,0.35
-2.65917477199998e-05,-0.343936939172321,-0.0137474324470189,0.36
-2.5685059760825e-05,-0.343934403737825,-0.0135723626817595,0.37
-2.48775049236005e-05,-0.343932366246632,-0.0134308580641342,0.38
-2.42509913253641e-05,-0.343930964046595,-0.0133336722533592,0.39
-2.38079924441676e-05,-0.343930229335892,-0.0132824533296952,0.4
-2.34792505657139e-05,-0.343929648681565,-0.0132404680779261,0.41
-2.34032560633216e-05,-0.343928798096664,-0.0131783711587175,0.42
-2.32802284546615e-05,-0.343927696379602,-0.0130978217733108,0.43
-2.32849349666595e-05,-0.343926632082819,-0.0130203004170585,0.44
-2.33414108742115e-05,-0.343925821908096,-0.0129594297738243,0.45
-2.32679508704689e-05,-0.343925393028218,-0.0129252594472921,0.46
-2.32542068781858e-05,-0.34392535423002,-0.012921768545629,0.47
-2.31073516714151e-05,-0.343925537560216,-0.0129358024239969,0.48
-2.30348455991235e-05,-0.343925797380909,-0.0129563369562519,0.49
-2.30990296953258e-05,-0.34392609586354,-0.0129804549192703,0.5
-2.31498885701565e-05,-0.343926397174158,-0.0130035466875295,0.51
-2.33393308247399e-05,-0.343926671462884,-0.0130229282253756,0.52
-2.34019039699462e-05,-0.343926913300387,-0.0130391134668752,0.53
-2.3366764710661e-05,-0.343927110501231,-0.0130530279120014,0.54
-2.33183954710916e-05,-0.343927235791837,-0.013062702010597,0.55
-2.31818483091921e-05,-0.343927303839564,-0.0130685593516007,0.56
-2.32084432872471e-05,-0.343927364918383,-0.0130744740173252,0.57
-2.32813668163758e-05,-0.34392742591345,-0.0130791615443806,0.58
-2.33780529378374e-05,-0.343927483256195,-0.0130822386085679,0.59
-2.34948642767444e-05,-0.343927540001606,-0.0130855263487777,0.6
-2.34296266473391e-05,-0.343927569846679,-0.0130873062202455,0.61
-2.33548254240194e-05,-0.343927561181455,-0.0130870880307551,0.62
-2.32549729126711e-05,-0.343927536609198,-0.0130861845336551,0.63
-2.3194644785101e-05,-0.34392752136303,-0.0130857710125402,0.64
-2.32949878822332e-05,-0.343927520630264,-0.0130856368369226,0.65
-2.33738495663755e-05,-0.343927530369126,-0.0130853646450392,0.66
-2.3466056648638e-05,-0.343927546175992,-0.0130859508238947,0.67
-2.34664476266784e-05,-0.343927546383106,-0.0130859046253285,0.68
-2.33478367139993e-05,-0.343927526091967,-0.0130847268098073,0.69
-2.32755582841846e-05,-0.343927508468209,-0.0130842861731111,0.7
