x,y,z,time
-1.38303768151537e-05,-0.275108017186279,-0.00874574565128108,0
-1.38268360690821e-05,-0.275108017560643,-0.00874577984384385,0.01
-1.38193209866499e-05,-0.275108018109295,-0.0087458269578828,0.02
-1.38129570585759e-05,-0.275108018470116,-0.00874585230152876,0.03
-1.3812195522128e-05,-0.275108019230126,-0.0087459150001555,0.04
-1.38179089620859e-05,-0.27510802019066,-0.00874599693822125,0.05
-1.38255686304846e-05,-0.275108020718654,-0.00874603661387104,0.06
-1.38301781635378e-05,-0.275108021267023,-0.0087460803872505,0.07
-1.38283660268892e-05,-0.275108021934126,-0.00874613817908241,0.08
-1.38213300327205e-05,-0.275108022130032,-0.00874615299039145,0.09
-1.38145065646224e-05,-0.275108021949411,-0.00874613671957764,0.1
-1.38122967776838e-05,-0.275108021611489,-0.00874611087483587,0.11
-1.38164865031146e-05,-0.275108020939888,-0.00874605621014979,0.12
-1.3824041616382e-05,-0.275108020126286,-0.00874598702429553,0.13
-1.38293496337814e-05,-0.275108019859781,-0.00874596480753352,0.14
-1.38290309005555e-05,-0.275108020438967,-0.00874601324587581,0.15
-1.38230864403859e-05,-0.275108021863142,-0.0087461274189894,0.16
-1.38725911524108e-05,-0.275108006663299,-0.00874426242185136,0.17
-1.40410943672309e-05,-0.275108030061847,-0.00874293751465743,0.18
-1.43155569668397e-05,-0.275108477533813,-0.00877387700839712,0.19
-1.47683989700837e-05,-0.275109941776454,-0.00888788161918488,0.2
-1.53752479505462e-05,-0.275112552905713,-0.00909540841013406,0.21
-1.60636645949214e-05,-0.275115756391846,-0.00935151415127926,0.22
-1.68120741140576e-05,-0.275118643932592,-0.00958308516196049,0.23
-1.7476049186822e-05,-0.275120521722717,-0.00973108446910016,0.24
-1.80314021623866e-05,-0.275121505317323,-0.00980364299330631,0.25
-1.84468881136251e-05,-0.275122174101906,-0.00985114220832322,0.26
-1.87341075601959e-05,-0.275122775484228,-0.00989567824936247,0.27
-1.89321638040151e-05,-0.275123148592719,-0.00992351726171279,0.28
-1.89851667222999e-05,-0.275123179966523,-0.00992658268032862,0.29
-1.89037843210229e-05,-0.275122807241407,-0.0099002338727478,0.3
-1.86395843649877e-05,-0.275121846269893,-0.0098262492976168,0.31
-1.82108273651997e-05,-0.275120318510146,-0.00970498564011746,0.32
-1.76747063468057e-05,-0.275118525755228,-0.00956252403785127,0.33
-1.70434379581179e-05,-0.275116725933633,-0.00942033393038315,0.34
-1.64128564347409e-05,-0.275115050258643,-0.00928964517888252,0.35
-1.58124970886787e-05,-0.275113532343198,-0.00917388354163443,0.36
-1.52783279734157e-05,-0.275112227154249,-0.00907543339146871,0.37
-1.47952395757499e-05,-0.275111167101348,-0.0089948032842898,0.38
-1.44183151359067e-05,-0.275110458843231,-0.00894082953479349,0.39
-1.41450485697463e-05,-0.27511009566977,-0.00891274216831952,0.4
-1.39360093838431e-05,-0.275109767666694,-0.00888649248359393,0.41
-1.3888844269968e-05,-0.275109247495495,-0.00884498531862739,0.42
-1.38160975649666e-05,-0.275108565021877,-0.00879056386652449,0.43
-1.38310065077267e-05,-0.275107919620388,-0.0087391449091376,0.44
-1.38750912698567e-05,-0.275107407729234,-0.00869685951955802,0.45
-1.38286032130021e-05,-0.275107114248826,-0.00867112412625516,0.46
-1.38184252159536e-05,-0.275107093890375,-0.00866877768773305,0.47
