x,y,z,time
-7.59246985002266e-07,0.274964009913814,-0.00308711681333499,0
-7.5924698502703e-07,0.274964009913768,-0.00308711681759249,0.001
-7.59246870891289e-07,0.274964009913725,-0.00308711682397809,0.002
-7.59247207424933e-07,0.274964009913713,-0.00308711683542018,0.003
-7.5924987149779e-07,0.27496400991353,-0.00308711684089359,0.004
-7.59255730275419e-07,0.274964009912652,-0.00308711674958652,0.005
-7.59262211277574e-07,0.274964009910858,-0.00308711632549748,0.006
-7.5926496652133e-07,0.274964009908781,-0.00308711517697521,0.007
-7.59261241643674e-07,0.274964009907827,-0.00308711279068264,0.008
-7.59251470315807e-07,0.274964009909731,-0.00308710858677894,0.009
-7.5923863329215e-07,0.274964009916068,-0.00308710197734309,0.01
-7.59226854907991e-07,0.274964009927912,-0.0030870924159927,0.011
-7.59220270246459e-07,0.274964009945484,-0.00308707944242052,0.012
-7.59221974247916e-07,0.274964009967606,-0.00308706273404986,0.013
-7.59232597078635e-07,0.274964009990967,-0.00308704216803136,0.014
-7.59248941743789e-07,0.274964010009401,-0.00308701788583938,0.015
-7.5926399079428e-07,0.274964010013265,-0.00308699035395128,0.016
-7.59269257189704e-07,0.274964009988894,-0.00308696042061892,0.017
-7.59258873487553e-07,0.274964009918115,-0.00308692936869962,0.018
-7.59233156022648e-07,0.274964009777858,-0.00308689896009941,0.019
-7.59199120165995e-07,0.274964009539901,-0.00308687146745749,0.02
-7.5916704766418e-07,0.274964009170723,-0.00308684969322123,0.021
-7.59144740942791e-07,0.274964008631418,-0.00308683697837587,0.022
-7.59132814326989e-07,0.274964007877687,-0.00308683720110585,0.023
-7.59123999742028e-07,0.274964006859925,-0.0030868547642864,0.024
-7.59107098913133e-07,0.274964005523421,-0.00308689457240934,0.025
-7.59073381470514e-07,0.27496400380862,-0.00308696200041649,0.026
-7.59021738453822e-07,0.274964001651439,-0.0030870628563872,0.027
-7.58959683958454e-07,0.274963998983658,-0.00308720333864825,0.028
-7.58899796855014e-07,0.274963995733364,-0.00308738998789255,0.029
-7.58853788886949e-07,0.274963991825454,-0.00308762963577215,0.03
-7.58827521836763e-07,0.274963987182153,-0.00308792935153197,0.031
-7.58819460476538e-07,0.274963981723552,-0.00308829638768621,0.032
-7.58822948423011e-07,0.274963975368139,-0.00308873812577526,0.033
-7.58830687650869e-07,0.27496396803331,-0.00308926202397468,0.034
-7.58838979045655e-07,0.274963959635837,-0.00308987556864402,0.035
-7.58849839551815e-07,0.274963950092273,-0.00309058623135545,0.036
-7.58870434201296e-07,0.274963939319319,-0.00309140143225415,0.037
-7.58910490645374e-07,0.274963927234111,-0.00309232851036648,0.038
-7.58978972664826e-07,0.274963913754459,-0.00309337470142457,0.039
-7.59081272050248e-07,0.27496389879901,-0.00309454712349915,0.04
-7.59217822502516e-07,0.274963882287337,-0.00309585277032085,0.041
-7.59384582482022e-07,0.274963864139969,-0.00309729851190673,0.042
-7.59575317648698e-07,0.274963844278358,-0.00309889110194114,0.043
-7.59784999271113e-07,0.274963822624786,-0.00310063719108085,0.044
-7.60013040178074e-07,0.27496379910224,-0.00310254334503802,0.045
-7.60264864760652e-07,0.274963773634239,-0.00310461606617696,0.046
-7.60550802149356e-07,0.274963746144643,-0.0031068618174572,0.047
-7.60882486814861e-07,0.274963716557447,-0.00310928704765086,0.048
-7.61268318793736e-07,0.274963684796563,-0.00311189821671812,0.049
-7.61710270197616e-07,0.274963650785615,-0.00311470182011999,0.05
-7.62203855762806e-07,0.274963614447765,-0.00311770441081939,0.051
-7.62741516282201e-07,0.274963575705553,-0.00312091261780879,0.052
-7.63317803288337e-07,0.274963534480794,-0.00312433316018051,0.053
-7.63933675570497e-07,0.274963490694511,-0.00312797285600806,0.054
-7.64597600280068e-07,0.274963444266923,-0.0031318386256027,0.055
-7.65322825457475e-07,0.274963395117473,-0.0031359374889839,0.056
-7.66122226877349e-07,0.274963343164925,-0.0031402765576061,0.057
-7.67003394908894e-07,0.274963288327493,-0.00314486302053513,0.058
-7.67966441708692e-07,0.274963230523033,-0.00314970412542755,0.059
-7.69005530185916e-07,0.274963169669274,-0.00315480715486601,0.06
-7.70113206100478e-07,0.274963105684076,-0.00316017939880325,0.061
