x,y,z,time
-4.42055282418616e-05,-0.413391662431003,-0.0252717433103157,0
-4.42054300147844e-05,-0.413391662668828,-0.0252717543704388,0.01
-4.42055978044438e-05,-0.413391663239747,-0.025271772642099,0.02
-4.42055444142919e-05,-0.413391663998465,-0.0252717895635941,0.03
-4.42056807208383e-05,-0.413391664878127,-0.0252718157790144,0.04
-4.42056633773698e-05,-0.41339166577939,-0.0252718456856956,0.05
-4.42056856658885e-05,-0.413391666639812,-0.0252718672140659,0.06
-4.42058612831182e-05,-0.413391667387128,-0.0252718869209998,0.07
-4.42057115215339e-05,-0.413391667948201,-0.0252719069708494,0.08
-4.4205843826054e-05,-0.413391668341044,-0.0252719170098779,0.09
-4.420586637074e-05,-0.413391668502105,-0.0252719186693678,0.1
-4.42057613200699e-05,-0.413391668449797,-0.025271919886112,0.11
-4.42058556854483e-05,-0.413391668247522,-0.0252719150477944,0.12
-4.42057499816866e-05,-0.413391667897439,-0.0252719021909772,0.13
-4.42057815196889e-05,-0.413391667472843,-0.025271890685285,0.14
-4.42057263594314e-05,-0.413391667009259,-0.0252718795198765,0.15
-4.42056622945792e-05,-0.413391666552157,-0.0252718643638998,0.16
-4.42057416726196e-05,-0.413391666139337,-0.0252718516624417,0.17
-4.42055939612254e-05,-0.413391665782625,-0.0252718439577817,0.18
-4.41362790867115e-05,-0.413391750116225,-0.0252733499077035,0.19
-4.39269504132224e-05,-0.413392427073877,-0.0252878800228435,0.2
-4.37546899144443e-05,-0.41339492206523,-0.0253494012372542,0.21
-4.36095632010827e-05,-0.413400866256442,-0.0255078091165271,0.22
-4.35189109858054e-05,-0.413411843140954,-0.025808233888218,0.23
-4.37606047196156e-05,-0.413428986173454,-0.0262814322140699,0.24
-4.41628930405879e-05,-0.41345260873727,-0.0269390081161971,0.25
-4.42658465099295e-05,-0.413481274969866,-0.0277394773920043,0.26
-4.51256137577186e-05,-0.413512675098286,-0.0286148172886986,0.27
-4.60615048954276e-05,-0.413544540275368,-0.0295070310784259,0.28
-4.67318638686008e-05,-0.413574862459155,-0.0303589324644367,0.29
-4.79360088650471e-05,-0.413601861457256,-0.0311160250842559,0.3
-4.8604305928865e-05,-0.413624035499011,-0.0317407976976411,0.31
-4.94561624243005e-05,-0.41364053380534,-0.0322089984390208,0.32
-5.01526137886537e-05,-0.413650766663876,-0.0324998803448511,0.33
-5.0449603583739e-05,-0.41365443282928,-0.0326066643105837,0.34
-5.08845129263732e-05,-0.413651499542862,-0.032530673635479,0.35
-5.07899615629807e-05,-0.413642091641458,-0.0322734856690551,0.36
-5.07572425468555e-05,-0.413626731544141,-0.0318480559893443,0.37
-5.05875442771506e-05,-0.413606193253917,-0.0312790685492818,0.38
-5.0071441383821e-05,-0.413581513852544,-0.0305939192672953,0.39
-4.98336692052624e-05,-0.413553966304423,-0.0298250756105586,0.4
-4.93290086825047e-05,-0.41352502869409,-0.0290177422467939,0.41
-4.87781237341954e-05,-0.413496321310629,-0.0282173814826024,0.42
