1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 -4.525780e-07 -4.810500e-01 -1.283671e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 1.636142e-04 -4.789305e-01 4.395552e-02 
1 2.993407e-04 -4.766023e-01 6.210551e-02 
1 4.591494e-04 -4.736207e-01 7.940801e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 4.750414e-07 -4.812487e-01 1.054251e-03 
1 2.738161e-05 -4.809817e-01 1.501425e-02 
1 2.738161e-05 -4.809817e-01 1.501425e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 1.538866e-04 -4.790656e-01 4.267064e-02 
1 2.459802e-04 -4.774797e-01 5.598479e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -3.222934e-06 -4.812024e-01 -6.219199e-03 
1 -3.222934e-06 -4.812024e-01 -6.219199e-03 
1 2.738161e-05 -4.809817e-01 1.501425e-02 
1 1.538866e-04 -4.790656e-01 4.267064e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 -4.525780e-07 -4.810500e-01 -1.283671e-02 
1 -3.222934e-06 -4.812024e-01 -6.219199e-03 
1 4.750414e-07 -4.812487e-01 1.054251e-03 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 3.230667e-05 -4.809143e-01 1.679058e-02 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -2.478512e-06 -4.812386e-01 -2.996067e-03 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 2.327697e-05 -4.810237e-01 1.380281e-02 
1 8.532255e-06 -4.811936e-01 6.919956e-03 
1 8.532255e-06 -4.811936e-01 6.919956e-03 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 8.532255e-06 -4.811936e-01 6.919956e-03 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 7.298855e-06 -4.812059e-01 6.119657e-03 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -4.525780e-07 -4.810500e-01 -1.283671e-02 
1 -4.125724e-07 -4.810484e-01 -1.288582e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 2.327697e-05 -4.810237e-01 1.380281e-02 
1 -4.366058e-07 -4.810494e-01 -1.285707e-02 
1 -1.887613e-06 -4.811078e-01 -1.081004e-02 
1 1.206250e-03 -4.583441e-01 1.361831e-01 
1 1.152729e-04 -4.796643e-01 3.638592e-02 
1 7.978898e-05 -4.802423e-01 2.902414e-02 
1 6.370904e-05 -4.804861e-01 2.527712e-02 
1 -3.222934e-06 -4.812024e-01 -6.219199e-03 
