x,y,z,time
-1.0676554273153e-05,0.137681926475248,-0.00590039326295545,0
-1.06765542747625e-05,0.137681926475278,-0.00590039326393781,0.000625
-1.067655096566e-05,0.137681926475748,-0.00590039328010601,0.00125
-1.06765335253884e-05,0.137681926477961,-0.00590039335715038,0.001875
-1.06764878139342e-05,0.137681926485722,-0.00590039362323161,0.0025
-1.06764072582001e-05,0.137681926508732,-0.00590039440300925,0.003125
-1.06762999759093e-05,0.137681926565312,-0.00590039632143653,0.00375
-1.06761862131771e-05,0.137681926683187,-0.00590040033829976,0.004375
-1.06760893035797e-05,0.137681926899409,-0.00590040774414643,0.005
-1.06760266095235e-05,0.13768192726002,-0.00590042014491367,0.005625
-1.06760044787285e-05,0.137681927819525,-0.0059004394404639,0.00625
-1.06760181213606e-05,0.137681928640149,-0.00590046779638829,0.006875
-1.06760553753469e-05,0.137681929790895,-0.00590050760858333,0.0075
-1.06761026324073e-05,0.137681931346409,-0.00590056146097922,0.008125
-1.06761511591835e-05,0.137681933385712,-0.00590063207832275,0.00875
-1.06762022892131e-05,0.137681935990889,-0.00590072227815429,0.009375
-1.06762703835053e-05,0.137681939245901,-0.00590083492774462,0.01
-1.06763829903719e-05,0.137681943235658,-0.00590097291116639,0.010625
-1.06765781952307e-05,0.137681948045408,-0.00590113910864513,0.01125
-1.06768997170463e-05,0.137681953760395,-0.00590133638634122,0.011875
-1.06773908290104e-05,0.137681960465673,-0.00590156759183459,0.0125
-1.06780884722213e-05,0.137681968245929,-0.00590183555014315,0.013125
-1.06790188229236e-05,0.137681977185249,-0.00590214305696426,0.01375
-1.06801951159235e-05,0.137681987366801,-0.00590249286860386,0.014375
-1.06816179236719e-05,0.137681998872492,-0.00590288769012852,0.015
-1.06832775058458e-05,0.137682011782646,-0.00590333016389227,0.015625
-1.0685157388013e-05,0.137682026175752,-0.00590382286017468,0.01625
-1.06872381416869e-05,0.137682042128311,-0.0059043682711101,0.016875
-1.06895005129923e-05,0.137682059714786,-0.00590496880885885,0.0175
-1.06919274753264e-05,0.137682079007698,-0.00590562680890973,0.018125
-1.06945052214904e-05,0.137682100077877,-0.00590634453911274,0.01875
-1.06972233961368e-05,0.137682122994857,-0.00590712421431922,0.019375
-1.07000749653845e-05,0.137682147827392,-0.00590796801549125,0.02
-1.07030560333188e-05,0.137682174644045,-0.0059088781112616,0.020625
-1.07061656815934e-05,0.137682203513766,-0.0059098566796363,0.02125
-1.07094056597508e-05,0.137682234506439,-0.00591090592796326,0.021875
-1.07127796567905e-05,0.137682267693337,-0.00591202811010895,0.0225
-1.07162919910631e-05,0.137682303147507,-0.00591322554048986,0.023125
-1.07199457847664e-05,0.137682340944065,-0.00591450060494098,0.02375
-1.07237409420533e-05,0.137682381160404,-0.00591585576844238,0.024375
-1.07276724533153e-05,0.137682423876317,-0.00591729357967316,0.025
-1.07317296075646e-05,0.137682469174036,-0.00591881667237014,0.025625
-1.07358965225042e-05,0.137682517138185,-0.00592042776360183,0.02625
-1.07401540306089e-05,0.137682567855649,-0.00592212964928235,0.026875
-1.07444825499904e-05,0.137682621415391,-0.00592392519741173,0.0275
-1.07488652800465e-05,0.137682677908216,-0.00592581733954004,0.028125
-1.07532909666302e-05,0.137682737426488,-0.00592780906087467,0.02875
-1.07577555969658e-05,0.137682800063834,-0.00592990338942509,0.029375
